collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,C,Java,Ruby,Assembly,C++,JavaScript,ActionScript,HTML,CSS,TSQL,Objective-C,Other,OCaml,Shell,TypeScript,Dockerfile,Go,Lex,Groovy,ANTLR,Batchfile,CoffeeScript,Tcl,Makefile,CMake,Python,PHP,Gherkin,Vim Snippet,Puppet,C#,Yacc,Vue,Swift,Roff,PowerShell,OpenSCAD,MATLAB,FreeMarker,PLpgSQL,Fortran,Csound,M,GLSL,Verilog,Lua,Perl,Awk,TeX,XSLT,Jupyter Notebook,R,Gnuplot,GAP,Scilab,Emacs Lisp,Objective-C++,Vim script,CWeb,YASnippet,Clojure,Inno Setup,Reason,Common Lisp,Rust,Starlark,Cuda,PureBasic,Scala
Text editors,lime,limetext,14384,1097,785,,1103,2,0,0,48,21.0,380.0,0,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,textmate,textmate,12872,1746,100,,5529,4,0,299,83,,,5,434,0.0,,1.0,,41.0,,,,0.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,
Text editors,neovim,neovim,36953,2754,978,,15723,3,0,26,536,894.0,4676.0,241,6585,37.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,43.0,,,,,,,,,,,
Text editors,overleaf,overleaf,6824,794,201,,550,3,0,7,26,142.0,500.0,2,97,,,,,,7.0,,,,,,,,9.0,,6.0,,,,,,76.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,slap,slap-editor,5513,235,152,,756,17,0,117,15,97.0,137.0,18,161,,,,,,96.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,Caret,thomaswilburn,1384,203,106,,946,4,0,53,48,18.0,578.0,1,134,,,,,,99.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,KomodoEdit,Komodo,1435,260,90,,14710,31,0,6,24,1143.0,2537.0,14,182,22.0,,,,8.0,13.0,,12.0,,,,5.0,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Text editors,leo-editor,leo-editor,799,118,49,3.0,22849,32,0,102,33,169.0,1342.0,1,86,,,,,,1.0,,1.0,0.0,,,0.0,,,,,,,,,,,,,,95.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Text editors,spacemacs,syl20bnr,20129,4839,589,,7442,10,0,163,547,801.0,6579.0,131,6120,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,98.0,,,,0.0,,,,,,,,,
Text editors,SpaceVim,SpaceVim,13925,1174,331,,4486,1,0,15,214,57.0,1696.0,36,1776,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,
Text editors,alm,alm-tools,2563,158,65,,2822,122,0,229,4,1.0,269.0,2,322,,,,,,,,,1.0,,,0.0,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,atom,atom,52087,14617,2500,,37529,138,0,542,438,633.0,15159.0,133,4544,,,,,,86.0,,0.0,8.0,,,,,0.0,,,,,,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,LightTable,LightTable,11131,940,470,,1297,16,0,13,76,159.0,1965.0,12,342,,,,,,,,,14.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,
Text editors,zed,zedapp,1618,158,75,,1200,5,0,41,39,170.0,258.0,5,165,,,,,,82.0,,8.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,vscode,microsoft,97528,15300,2900,530.0,66680,424,0,155,1158,5041.0,85569.0,210,7113,,,,,,3.0,,0.0,1.0,,,,,0.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
Text editors,micro,zyedidia,13964,677,249,,2402,16,0,28,165,305.0,899.0,22,478,,,,,,,,,,,,1.0,,3.0,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Text editors,neoeedit,neoedmund,181,6,4,,211,1,0,0,1,0.0,1.0,0,0,,97.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,kakoune,mawww,5942,455,115,,8236,10,0,9,199,412.0,1536.0,85,1510,,,,,98.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,Notepads,JasonStein,2352,170,55,,846,2,0,48,39,70.0,192.0,10,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,oni2,onivim,3760,147,88,,1170,238,0,0,60,267.0,392.0,19,1193,13.0,,,,,11.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,73.0,,,,,,
Text editors,vscodium,VSCodium,8634,294,119,,265,3,0,47,36,50.0,233.0,2,120,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,intellij-community,JetBrains,9939,3457,486,30.0,279945,285,0,648,512,,,151,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,emacs,emacs-mirror,2428,738,251,,141379,186,0,161,689,,,8,10,15.0,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,4.0,,,,,,,,,,,,,59.0,,,,,,,,4.0,,,,,
Text editors,lite,rxi,3062,113,61,,175,1,0,7,10,26.0,76.0,5,32,19.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,github-snooze-button,tdsmith,147,25,19,,72,2,0,2,1,1.0,4.0,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,octobox,octobox,3944,320,66,,2575,5,0,7,100,21.0,539.0,1,1781,,,65.0,,,5.0,,22.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,semantic-release,semantic-release,9914,804,17,30300.0,850,12,0,284,112,56.0,769.0,10,702,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,hubcommander,Netflix,1115,144,316,,163,2,0,5,19,9.0,33.0,2,56,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,github-changelog-generator,github-changelog-generator,5971,676,112,1400.0,1719,16,0,75,75,111.0,226.0,9,372,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,homu,servo,269,55,28,,371,16,0,0,34,76.0,30.0,6,91,,,,,,,,9.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,ghwd,github-modules,354,30,14,,46,1,0,6,10,1.0,2.0,5,18,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,offline-issues,jlord,559,71,23,,113,1,0,0,11,19.0,11.0,3,16,,,,,,75.0,,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,greenkeeper,greenkeeperio,1537,118,23,,801,361,0,341,19,88.0,421.0,20,610,,,,,,99.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,stale,probot,918,179,18,12.0,262,113,0,2,31,23.0,145.0,10,101,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,highfive,servo,196,56,22,,307,22,0,0,42,43.0,49.0,3,121,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,foss-heartbeat,sagesharp,275,40,17,,172,1,0,0,10,33.0,1.0,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,contributors-on-github,hzoo,365,23,10,,88,2,0,4,6,10.0,9.0,3,13,,,,,,87.0,,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,flint,pengwynn,1029,109,43,,106,2,0,4,12,2.0,13.0,4,23,,,,,,,,,,,,,,1.0,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,weallbehave,WeAllJS,131,19,14,,20,2,0,6,4,2.0,0.0,1,5,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,weallcontribute,WeAllJS,101,24,11,,28,1,0,10,4,2.0,2.0,4,7,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,danger,danger,4046,376,44,2100.0,2537,28,0,182,159,123.0,366.0,4,733,,,98.0,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,poule,icecrime,236,19,15,,142,2,0,1,9,7.0,13.0,0,38,,,,,,,,,,,,0.0,,1.0,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,settings,probot,416,96,29,,359,3,0,0,26,20.0,76.0,5,150,,,,,,99.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,cla-assistant,cla-assistant,693,200,20,,1226,17,0,43,46,38.0,410.0,2,111,,,,,,87.0,,9.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,package-json-to-readme,zeke,313,53,12,76.0,82,2,0,11,9,7.0,7.0,1,20,,,,,,92.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,hakiri_toolbelt,hakirisec,248,17,9,,135,1,0,9,4,6.0,3.0,1,4,,,99.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,standard,standard,23828,1837,470,97800.0,1677,30,0,171,139,114.0,967.0,15,407,,,,,,90.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,lerna,lerna,23011,1491,223,41300.0,2027,5,0,178,254,397.0,1404.0,24,783,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,sedy,marmelab,241,27,16,,263,1,0,1,12,6.0,21.0,0,71,,,,,,98.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,shields,badges,11038,2953,119,18.0,4139,21,0,9,359,244.0,1409.0,19,3482,,,,,,95.0,,,,,,0.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,bitrise,bitrise-io,590,106,26,,1651,18,0,88,25,23.0,43.0,5,654,,,,,,,,,,,,0.0,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Open Source,devhub,devhubapp,6760,425,113,,2620,1,0,117,19,33.0,109.0,0,67,,0.0,0.0,,,1.0,,0.0,0.0,,,0.0,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,lightcrawler,github,1269,144,65,,28,2,0,9,3,9.0,0.0,3,3,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,tota11y,Khan,4513,295,221,,332,15,0,18,22,35.0,51.0,11,66,,,,,,68.0,,20.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,a11y,addyosmani,1645,91,52,278.0,162,3,0,17,12,26.0,18.0,5,31,,,,,,53.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,a11y.css,ffoodd,1102,80,44,,946,3,0,30,19,39.0,255.0,1,89,,,0.0,,,17.0,,1.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,colorable,jxnblk,1672,113,37,100.0,135,5,0,0,2,11.0,5.0,9,6,,,,,,0.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,awesome-a11y,brunopulis,1062,100,56,,403,2,0,0,56,0.0,12.0,0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,ally.js,medialize,1346,84,57,500.0,1294,2,0,32,8,37.0,89.0,4,45,,,,,,70.0,,28.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,accessibility-fails,aduggin,228,21,9,,97,2,0,0,3,0.0,1.0,0,1,,,,,,,,97.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,pa11y,pa11y,2539,183,228,1100.0,408,11,0,94,42,26.0,251.0,1,247,,,,,,86.0,,12.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,REVENGE.CSS,Heydon,605,50,30,,41,2,0,0,6,9.0,5.0,5,8,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,react-a11y,reactjs,2203,137,57,,606,8,0,26,20,16.0,72.0,4,80,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,protractor-accessibility-plugin,angular,218,40,32,,15,2,0,0,5,16.0,8.0,4,8,,,,,,71.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,accesslint.js,AccessLint,403,16,18,,59,3,0,5,5,0.0,8.0,0,23,,,,,,97.0,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,accessibility,18F,244,54,86,,481,15,0,0,44,13.0,99.0,4,137,,,1.0,,,0.0,,12.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,a11y-tools,prettydiff,310,15,13,,35,1,0,0,6,0.0,2.0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,axe-cli,dequelabs,390,37,18,,139,13,0,11,19,7.0,50.0,0,90,,,,,,97.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,HTML5accessibility,stevefaulkner,272,64,21,,438,2,0,0,16,5.0,42.0,1,42,,,,,,14.0,,77.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,TheA11yMachine,liip,551,61,56,,270,4,0,26,6,29.0,42.0,6,61,,,,,,48.0,,48.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,a11yproject.com,a11yproject,3103,443,249,,1367,5,0,0,161,43.0,400.0,2,481,,,0.0,,,14.0,,69.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,accessibility-developer-tools,GoogleChrome,1998,348,201,,607,4,0,25,20,86.0,109.0,18,148,,,,,,94.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Web accessibility,lighthouse,GoogleChrome,20004,6946,506,4400.0,4038,186,0,81,226,429.0,6438.0,46,3509,,,,,,95.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,accessibility-guide,fejes713,453,21,12,,108,2,0,0,12,3.0,8.0,1,20,,,,,,58.0,,5.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,leonardo,adobe,808,30,17,,420,10,0,9,7,29.0,14.0,2,30,,,,,,66.0,,17.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web accessibility,zinggrid,ZingGrid,26,1,4,,39,2,0,11,3,,,0,0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web games,2048,gabrielecirulli,10462,15727,601,,180,2,0,0,24,56.0,90.0,48,275,,,0.0,,,38.0,,6.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web games,clumsy-bird,ellisonleao,1261,845,141,,251,1,0,0,8,3.0,48.0,0,24,,,,,,85.0,,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web games,BrowserQuest,mozilla,8453,2521,624,,153,4,0,0,4,,,7,36,,,,,,99.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web games,untrusted,AlexNisnevich,3975,691,132,,1141,26,0,1,85,49.0,189.0,3,222,,,,,,62.0,,36.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web games,adarkroom,doublespeakgames,4796,1239,264,,771,4,0,3,110,90.0,125.0,28,330,,,,,,91.0,,2.0,5.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web games,hextris,Hextris,1606,583,115,,1718,3,0,1,15,17.0,130.0,12,47,,,,,,75.0,,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel Art Tools,aseprite,aseprite,9022,930,309,,7233,8,0,113,42,827.0,1363.0,8,211,,,,,98.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel Art Tools,piskel,piskelapp,6048,449,221,,1832,6,0,32,35,179.0,356.0,11,396,,,,,,86.0,,6.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel Art Tools,pixel-art-react,jvalen,2359,124,58,,586,2,0,20,8,2.0,11.0,2,20,,,,,,80.0,,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel Art Tools,poxi,maierfelix,1404,60,28,,67,4,0,0,2,6.0,2.0,0,1,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel Art Tools,Data-Pixels,gmattie,1489,60,44,,17,1,0,2,1,0.0,6.0,0,6,,,,,,91.0,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel Art Tools,pixel8,vsmode,783,29,23,,24,2,0,0,2,0.0,2.0,1,1,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel Art Tools,make8bitart,jennschiffer,756,89,18,,226,3,0,0,15,8.0,34.0,1,29,,,,,,77.0,,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel Art Tools,pyxel,kitao,7054,413,205,124.0,1720,2,0,72,33,3.0,169.0,1,76,1.0,,,,66.0,,,,,,,0.0,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel Art Tools,goya,jackschaedler,989,60,21,,133,3,0,0,3,15.0,20.0,1,3,,,,,,80.0,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,
Pixel Art Tools,rx,cloudhead,1303,47,13,,675,5,0,6,10,14.0,42.0,2,25,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,98.0,,,,
Model Zoos of machine and deep learning technologies,models,tensorflow,64210,41057,300,18.0,4798,43,0,13,628,861.0,4523.0,96,3022,,,,,1.0,,,,,,,,,0.0,,0.0,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,
Model Zoos of machine and deep learning technologies,Theano,Theano,9158,2518,575,7800.0,28120,3,0,33,332,568.0,2075.0,102,4003,5.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Model Zoos of machine and deep learning technologies,caffe,BVLC,30370,18333,2200,,4156,7,0,14,265,838.0,3867.0,284,1939,,,,,80.0,,,,,,,0.0,,,,,,,,,,,,0.0,2.0,9.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
Model Zoos of machine and deep learning technologies,models,facebookarchive,355,117,63,,77,3,0,0,8,25.0,19.0,1,33,,,,,,,,,,,,,,24.0,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,
Model Zoos of machine and deep learning technologies,incubator-mxnet,apache,18754,6661,1200,100.0,11048,37,0,23,796,1707.0,7266.0,191,9282,,,,,36.0,,,,,,,10.0,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,7.0,,,,,,,,,,,,,,,,4.0,,4.0
Model Zoos of machine and deep learning technologies,deeplearning4j,eclipse,11657,4812,824,,943,69,0,56,37,1025.0,4270.0,7,3680,,63.0,,,29.0,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,0.0
Model Zoos of machine and deep learning technologies,Pytorch-Model-Zoo,sdhnshu,106,16,9,,20,2,0,0,1,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,
Model Zoos of machine and deep learning technologies,Recipes,Lasagne,848,385,52,,98,3,0,0,16,24.0,40.0,14,39,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Zoos of machine and deep learning technologies,keras-model-zoo,albertomontesg,168,26,14,,15,1,0,1,1,7.0,7.0,0,2,,,,,,,,,,,,,,2.0,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Zoos of machine and deep learning technologies,the-gan-zoo,hindupuravinash,8505,1824,531,,175,4,0,0,20,13.0,16.0,10,49,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Zoos of machine and deep learning technologies,Awesome-CoreML-Models,likedan,4611,381,234,,141,2,0,0,12,1.0,18.0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Zoos of machine and deep learning technologies,CNTK,microsoft,16785,4411,1400,,16116,1069,0,39,198,738.0,2506.0,85,464,,,,,55.0,,,,,,,2.0,,0.0,,,,,,,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,3.0,,
